57,"MAZO DE HULE 8oz",bueno,pieza,1,INM-009,Pintura,"Felix Espinoza"
58,"NIVEL DE MANO ",bueno,pieza,1,INM-009,Pintura,"Felix Espinoza"
59,"ESCUADRA DE 24""",bueno,pieza,1,INM-009,Pintura,"Felix Espinoza"
60,"PLOMO DE 12 oz",bueno,pieza,1,INM-009,Pintura,"Felix Espinoza"
61,"EXTENCION DE USO RUDO 20 metros",bueno,pieza,2,INM-009,Pintura,"Felix Espinoza"
62,"TIJERAS DE OJALATERO",bueno,pieza,2,INM-009,Pintura,"Felix Espinoza"
63,MARTILLO,bueno,pieza,2,INM-009,Pintura,"Felix Espinoza"
64,ROTOMARTILLO,bueno,pieza,1,INM-009,Pintura,"Felix Espinoza"
65,"LLANA DE 6",bueno,pieza,2,INM-009,Pintura,"Felix Espinoza"
66,"ESPATULA DE 6""",bueno,pieza,2,INM-009,Pintura,"Felix Espinoza"
67,"ESPATULA DE 4""",bueno,pieza,2,INM-009,Pintura,"Felix Espinoza"
68,"JUEGO PUNTAS Y BROCAS BOSCH",bueno,pieza,34,INM-009,Pintura,"Felix Espinoza"
69,"CINCEL DE 12""",bueno,pieza,2,INM-009,Pintura,"Felix Espinoza"
70,"JUEGO DE REPUESTO DE NAVAJA ",bueno,pieza,2,INM-009,Pintura,"Felix Espinoza"
71,"CORTADORA DE METALES BOSCH ",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
72,"JUEGO DE DADOS 3/8""",bueno,pieza,2,INM-008,Herramienta,"Julio Avalos"
73,"MINI ESMERL MILWAUKKE",bueno,pieza,2,INM-008,Herramienta,"Julio Avalos"
74,"ROTOMARTILLO SDS PLUS 7/8""",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
75,"CARTEAS PARA SOLDADOR CON CRISTAL ",bueno,pieza,2,INM-008,Herramienta,"Julio Avalos"
76,"ESCUADRA DE 12""",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
77,"NIVEL TORPEDO",bueno,pieza,1,INM-008,Herramienta,"Julio Avalos"
78,"JUEGO DE BROCAS ",bueno,pieza,21,INM-008,Herramienta,"Julio Avalos"
79,"PINZAS DE CUADRO TIPO C 6""",bueno,pieza,2,INM-008,Herramienta,"Julio Avalos"
